scraped_date,codigo,cotacao,data_cotacao,setor,subsetor,valor_mercado,valor_firma,numero_acoes,pl,lpa,pvp,vpa,pebit,marg_bruta,psr,marg_ebit,pativos,marg_liquida,p_cap_giro,ebit_ativo,p_ativ_circ_liq,roic,div_yield,roe,ev_ebitida,liquidez_corr,giro_ativos,div_br_patrim,cres_rec_5a,ativo,disponibilidades,ativo_circulante,div_bruta,div_liquida,patrimonio_liquido,receita_Liquida_12,receita_Liquida_3,ebit_12,ebit_3,lucro_liquido_12,lucro_liquido_3
2020-06-05 11:20:16.304060,BMIN3,18.5,2020-06-04 00:00:00,Financeiros,Bancos,89262500,-,4825000,31.21,0.59,0.72,25.61,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0.122,195027000,39647000, 0.0 , 0.0 , 0.0 ,123580000,10145000,2342000,3760000,581000,3760000,581000
2020-06-05 11:20:16.304060,BIDI4,12.5,2020-06-04 00:00:00,Financeiros,Bancos,8836910000,-,706953000,155.22,0.08,4.11,3.04,0,0,0,0,0,0,0,0,0,0,0.006,0.027000000000000003,0,0,0,0,0.18899999999999997,10472700000,4023710000, 0.0 , 0.0 , 0.0 ,2147950000,454490000,88351000,104175000,28225000,104175000,28225000
2020-06-05 11:20:16.304060,BIDI11,34.97,2020-06-04 00:00:00,Financeiros,Bancos,8240720000,-,706953000,144.74,0.24,3.84,9.11,0,0,0,0,0,0,0,0,0,0,0.005,0.027000000000000003,0,0,0,0,0.18899999999999997,10472700000,4023710000, 0.0 , 0.0 , 0.0 ,2147950000,454490000,88351000,104175000,28225000,104175000,28225000
2020-06-05 11:20:16.304060,BIDI3,10.3,2020-06-04 00:00:00,Financeiros,Bancos,7281620000,-,706953000,127.9,0.08,3.39,3.04,0,0,0,0,0,0,0,0,0,0,0.006,0.027000000000000003,0,0,0,0,0.18899999999999997,10472700000,4023710000, 0.0 , 0.0 , 0.0 ,2147950000,454490000,88351000,104175000,28225000,104175000,28225000
2020-06-05 11:20:16.304060,EALT4,3.9,2020-06-04 00:00:00,Máquinas e Equipamentos,Máqs. e Equips. Construção e Agrícolas,87750000,166485000,22500000,5.21,0.75,0.54,7.23,3.12,0.21600000000000003,0.29,0.094,0.24,0.055999999999999994,8.42,0.076,1.14,0.081,0.015,0.10400000000000001,4.34,1.09,5.91,0.54,0.242,368478000,8913000,128976000,87648000,78735000,78735000,299194000,66895000,28153000,3170000,28153000,3170000
2020-06-05 11:20:16.304060,ADHM3,2.55,2020-06-04 00:00:00,Prods. de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,19285600,19285600,7563000,3.1,0.82,0.98,2.61,4.31,1,584.41,135.485,79.69,188.606,1.08,18.475,0.96,5.2170000000000005,0,0.315,4.4,0,4.31,0,0.435,242000,0,23000,0,0,0,33000,33000,4471000,993000,4471000,993000
2020-06-05 11:20:16.304060,TIET3,3.22,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,6425620000,9288810000,1995530000,20.5,0.16,4.21,0.77,8.37,0.376,3.15,0.376,0.79,0.153,46.8,0.095,1.37,0.141,0.043,0.205,8.56,0.93,12.1,2.79,0.094,8083880000,1396240000,1880080000,4259430000,2863190000,2863190000,2043110000,494396000,767728000,234946000,767728000,234946000
2020-06-05 11:20:16.304060,TIET4,2.78,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,5547580000,8410770000,1995530000,17.7,0.16,3.63,0.77,7.23,0.376,2.72,0.376,0.69,0.153,40.41,0.095,1.19,0.141,0.05,0.205,7.75,0.93,10.96,2.79,0.094,8083880000,1396240000,1880080000,4259430000,2863190000,2863190000,2043110000,494396000,767728000,234946000,767728000,234946000
2020-06-05 11:20:16.304060,TIET11,14.26,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,5691260000,8554450000,1995530000,18.16,0.79,3.73,3.83,7.41,0.376,2.79,0.376,0.7,0.153,41.45,0.095,1.22,0.141,0.048,0.205,7.89,0.93,11.14,2.79,0.094,8083880000,1396240000,1880080000,4259430000,2863190000,2863190000,2043110000,494396000,767728000,234946000,767728000,234946000
2020-06-05 11:20:16.304060,AFLT3,8.69,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,548209000,491503000,63085000,22.17,0.39,2.49,3.49,22.54,0.6459999999999999,14.16,0.628,2.37,0.639,7.05,0.105,7.76,0.142,0.012,0.11199999999999999,20.2,23.21,20.2,0,0.094,230894000,57771000,81267000,1065000,56706000,56706000,38726000,8952000,24327000,5823000,24327000,5823000
2020-06-05 11:20:16.304060,ALSO3,29.39,2020-06-04 00:00:00,Exploração de Imóveis,Exploração de Imóveis,7811070000,6338180000,265773000,80.71,0.36,1.19,24.64,17.13,0.711,8.9,0.519,0.71,0.14300000000000002,5.09,0.042,4.92,0.048,0,0.015,10.2,9.03,13.9,0,0.226,10935400000,1472890000,1727380000,0,1472890000,1472890000,878059000,229289000,456020000,109492000,456020000,109492000
2020-06-05 11:20:16.304060,AALR3,11.55,2020-06-04 00:00:00,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",1366280000,1933800000,118293000,140.36,0.08,1.08,10.68,14.96,0.244,1.31,0.087,0.52,0.018000000000000002,96.54,0.035,1.93,0.039,0.008,0.008,9.2,0.98,21.18,0.65,0.009000000000000001,2624780000,256040000,619861000,823557000,567517000,567517000,1046880000,235863000,91324000,1131000,91324000,1131000
2020-06-05 11:20:16.304060,ALPA3,22.48,2020-06-04 00:00:00,"Tecidos, Vestuário e Calçados",Calçados,13219600000,12902000000,588062000,53.42,0.42,4.75,4.73,24.28,0.512,3.76,0.155,2.52,0.068,9.77,0.10400000000000001,19.31,0.154,0.002,0.08900000000000001,18.36,1.79,23.7,0.4,0.032,5253920000,1420730000,3074570000,1103050000,317681000,317681000,3519000000,747041000,544457000,66719000,544457000,66719000
2020-06-05 11:20:16.304060,ALPA4,27.41,2020-06-04 00:00:00,"Tecidos, Vestuário e Calçados",Calçados,16118800000,15801100000,588062000,65.14,0.42,5.79,4.73,29.61,0.512,4.58,0.155,3.07,0.068,11.92,0.10400000000000001,23.54,0.154,0.002,0.08900000000000001,22.49,1.79,29.02,0.4,0.032,5253920000,1420730000,3074570000,1103050000,317681000,317681000,3519000000,747041000,544457000,66719000,544457000,66719000
2020-06-05 11:20:16.304060,APER3,20.8,2020-06-04 00:00:00,Previdência e Seguros,Corretoras de Seguros,238784000,159550000,11480000,107.76,0.19,1.36,15.34,98.79,1,2.54,0.026000000000000002,0.91,0.024,3.74,0.009000000000000001,14.58,0.013999999999999999,0,0.013000000000000001,52.5,2.61,66.01,0,0.145,263110000,79234000,103429000,0,79234000,79234000,93978000,25198000,2417000,269000,2417000,269000
2020-06-05 11:20:16.304060,ALUP3,9.78,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,8597710000,13810700000,879111000,12.85,0.76,1.65,5.92,3.98,0.494,1.84,0.46399999999999997,0.43,0.294,2.95,0.109,1.21,0.134,0.024,0.128,6.07,2.43,6.39,1.66,0.325,19920500000,3421850000,4967970000,8634860000,5213010000,5213010000,4663230000,1216930000,2162810000,582593000,2162810000,582593000
2020-06-05 11:20:16.304060,ALUP4,7.59,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,6672450000,11885500000,879111000,9.97,0.76,1.28,5.92,3.09,0.494,1.43,0.46399999999999997,0.33,0.294,2.29,0.109,0.94,0.134,0.03,0.128,5.22,2.43,5.5,1.66,0.325,19920500000,3421850000,4967970000,8634860000,5213010000,5213010000,4663230000,1216930000,2162810000,582593000,2162810000,582593000
2020-06-05 11:20:16.304060,ALUP11,24.8,2020-06-04 00:00:00,Energia Elétrica,Energia Elétrica,7267320000,12480300000,879111000,10.86,2.28,1.4,17.77,3.36,0.494,1.56,0.46399999999999997,0.36,0.294,2.49,0.109,1.02,0.134,0.027999999999999997,0.128,5.48,2.43,5.77,1.66,0.325,19920500000,3421850000,4967970000,8634860000,5213010000,5213010000,4663230000,1216930000,2162810000,582593000,2162810000,582593000
2020-06-05 11:20:16.304060,ABEV3,13.38,2020-06-04 00:00:00,Bebidas,Cervejas e Refrigerantes,210536000000,200760000000,15735100000,20.62,0.65,2.99,4.47,14.38,0.5770000000000001,4.01,0.278,1.85,0.203,35.88,0.129,20.07,0.171,0.037000000000000005,0.145,10.41,1.23,13.71,0.05,0.033,113688000000,13249300000,31086400000,3473450000,9775840000,9775840000,52562200000,12602600000,14638400000,2887210000,14638400000,2887210000
